Method Name,Description
javax.swing.tree.DefaultTreeCellRenderer.setFont,Subclassed to mapFontUIResources to null.
javax.swing.tree.DefaultTreeCellRenderer.setLeafIcon,Sets the icon used to represent leaf nodes.
javax.swing.tree.DefaultTreeCellRenderer.setOpenIcon,Sets the icon used to represent non-leaf nodes that are expanded.
javax.swing.tree.DefaultTreeCellRenderer.setTextNonSelectionColor,Sets the color the text is drawn with when the node isn't selected.
javax.swing.tree.DefaultTreeCellRenderer.setTextSelectionColor,Sets the color the text is drawn with when the node is selected.
javax.swing.tree.DefaultTreeModel.addTreeModelListener,Adds a listener for the TreeModelEvent posted after the tree changes.
javax.swing.tree.DefaultTreeModel.asksAllowsChildren,Tells how leaf nodes are determined.
javax.swing.tree.DefaultTreeModel.getChild,Returns the child ofparentat indexindexin the parent's  child array.
javax.swing.tree.DefaultTreeModel.getChildCount,Returns the number of children ofparent.
javax.swing.tree.DefaultTreeModel.getIndexOfChild,Returns the index of child in parent.
javax.swing.tree.DefaultTreeModel.getRoot,Returns the root of the tree.
javax.swing.tree.DefaultTreeModel.getTreeModelListeners,Returns an array of all the tree model listeners  registered on this model.
javax.swing.tree.DefaultTreeModel.insertNodeInto,Invoked this to insert newChild at location index in parents children.
javax.swing.tree.DefaultTreeModel.isLeaf,Returns whether the specified node is a leaf node.
javax.swing.tree.DefaultTreeModel.nodeChanged,Invoke this method after you've changed how node is to be  represented in the tree.
javax.swing.tree.DefaultTreeModel.nodesChanged,Invoke this method after you've changed how the children identified by  childIndicies are to be represented in the tree.
javax.swing.tree.DefaultTreeModel.nodeStructureChanged,Invoke this method if you've totally changed the children of  node and its children's children...
javax.swing.tree.DefaultTreeModel.nodesWereInserted,Invoke this method after you've inserted some TreeNodes into  node.
javax.swing.tree.DefaultTreeModel.nodesWereRemoved,Invoke this method after you've removed some TreeNodes from  node.
javax.swing.tree.DefaultTreeModel.reload,Invoke this method if you've modified theTreeNodes upon which  this model depends.
javax.swing.tree.DefaultTreeModel.removeNodeFromParent,Message this to remove node from its parent.
javax.swing.tree.DefaultTreeModel.removeTreeModelListener,Removes a listener previously added withaddTreeModelListener().
javax.swing.tree.DefaultTreeModel.setAsksAllowsChildren,Sets whether or not to test leafness by asking getAllowsChildren()  or isLeaf() to the TreeNodes.
javax.swing.tree.DefaultTreeModel.setRoot,Sets the root toroot.
javax.swing.tree.DefaultTreeModel.valueForPathChanged,This sets the user object of the TreeNode identified by path  and posts a node changed.
javax.swing.tree.DefaultTreeSelectionModel.addSelectionPath,Adds path to the current selection.
javax.swing.tree.DefaultTreeSelectionModel.addSelectionPaths,Adds paths to the current selection.
javax.swing.tree.DefaultTreeSelectionModel.addTreeSelectionListener,Adds x to the list of listeners that are notified each time the  set of selected TreePaths changes.
javax.swing.tree.DefaultTreeSelectionModel.arePathsContiguous,"Returns true if the paths are contiguous,  or this object has no RowMapper."
javax.swing.tree.DefaultTreeSelectionModel.canPathsBeAdded,Used to test if a particular set ofTreePaths can  be added.
javax.swing.tree.DefaultTreeSelectionModel.canPathsBeRemoved,Returns true if the paths can be removed without breaking the  continuity of the model.
javax.swing.tree.DefaultTreeSelectionModel.clearSelection,Empties the current selection.
javax.swing.tree.DefaultTreeSelectionModel.clone,Returns a clone of this object with the same selection.
javax.swing.tree.DefaultTreeSelectionModel.fireValueChanged,Notifies all listeners that are registered for  tree selection events on this object.
javax.swing.tree.DefaultTreeSelectionModel.getLeadSelectionPath,Returns the last path that was added.
javax.swing.tree.DefaultTreeSelectionModel.getMaxSelectionRow,Returns the largest value obtained from the RowMapper for the  current set of selected TreePaths.
javax.swing.tree.DefaultTreeSelectionModel.getMinSelectionRow,Returns the smallest value obtained from the RowMapper for the  current set of selected TreePaths.
javax.swing.tree.DefaultTreeSelectionModel.getPropertyChangeListeners,Returns an array of all the property change listeners  registered on thisDefaultTreeSelectionModel.
javax.swing.tree.DefaultTreeSelectionModel.getRowMapper,Returns the RowMapper instance that is able to map a TreePath to a  row.
javax.swing.tree.DefaultTreeSelectionModel.getSelectionCount,Returns the number of paths that are selected.
javax.swing.tree.DefaultTreeSelectionModel.getSelectionMode,"Returns the selection mode, one ofSINGLE_TREE_SELECTION,DISCONTIGUOUS_TREE_SELECTIONorCONTIGUOUS_TREE_SELECTION."
javax.swing.tree.DefaultTreeSelectionModel.getSelectionPath,Returns the first path in the selection.
javax.swing.tree.DefaultTreeSelectionModel.getSelectionPaths,Returns the selection.
javax.swing.tree.DefaultTreeSelectionModel.getSelectionRows,Returns the selection in terms of rows.
javax.swing.tree.DefaultTreeSelectionModel.getTreeSelectionListeners,Returns an array of all the tree selection listeners  registered on this model.
javax.swing.tree.DefaultTreeSelectionModel.insureRowContinuity,Makes sure the currently selectedTreePaths are valid  for the current selection mode.
javax.swing.tree.DefaultTreeSelectionModel.insureUniqueness,This method is obsolete and its implementation is now a noop.
javax.swing.tree.DefaultTreeSelectionModel.isPathSelected,"Returns true if the path,path,  is in the current selection."
javax.swing.tree.DefaultTreeSelectionModel.isRowSelected,Returns true if the row identified byrowis selected.
javax.swing.tree.DefaultTreeSelectionModel.notifyPathChange,Deprecated.As of JDK version 1.7
javax.swing.tree.DefaultTreeSelectionModel.removeSelectionPath,Removes path from the selection.
javax.swing.tree.DefaultTreeSelectionModel.removeSelectionPaths,Removes paths from the selection.
javax.swing.tree.DefaultTreeSelectionModel.removeTreeSelectionListener,Removes x from the list of listeners that are notified each time  the set of selected TreePaths changes.
javax.swing.tree.DefaultTreeSelectionModel.resetRowSelection,Updates this object's mapping from TreePath to rows.
javax.swing.tree.DefaultTreeSelectionModel.setRowMapper,Sets the RowMapper instance.
javax.swing.tree.DefaultTreeSelectionModel.setSelectionMode,"Sets the selection model, which must be one of SINGLE_TREE_SELECTION,  CONTIGUOUS_TREE_SELECTION or DISCONTIGUOUS_TREE_SELECTION."
javax.swing.tree.DefaultTreeSelectionModel.setSelectionPath,Sets the selection to path.
javax.swing.tree.DefaultTreeSelectionModel.setSelectionPaths,Sets the selection.
javax.swing.tree.DefaultTreeSelectionModel.updateLeadIndex,Updates the leadIndex instance variable.
javax.swing.tree.FixedHeightLayoutCache.getRowCount,Returns the number of visible rows.
javax.swing.tree.FixedHeightLayoutCache.getVisiblePathsFrom,Returns an Enumerator that increments over the visible paths  starting at the passed in location.
javax.swing.tree.FixedHeightLayoutCache.invalidatePathBounds,"Does nothing, FixedHeightLayoutCache doesn't cache width, and that  is all that could change."
javax.swing.tree.FixedHeightLayoutCache.invalidateSizes,Informs the TreeState that it needs to recalculate all the sizes  it is referencing.
javax.swing.tree.FixedHeightLayoutCache.setModel,Sets the TreeModel that will provide the data.
javax.swing.tree.FixedHeightLayoutCache.setRootVisible,Determines whether or not the root node from  the TreeModel is visible.
javax.swing.tree.TreePath.equals,Compares thisTreePathto the specified object.
javax.swing.tree.TreePath.getLastPathComponent,Returns the last element of this path.
javax.swing.tree.TreePath.getParentPath,Returns theTreePathof the parent.
javax.swing.tree.TreePath.getPath,Returns an ordered array of the elements of thisTreePath.
javax.swing.tree.TreePath.getPathComponent,Returns the path element at the specified index.
javax.swing.tree.TreePath.getPathCount,Returns the number of elements in the path.
javax.swing.tree.TreePath.hashCode,Returns the hash code of thisTreePath.
javax.swing.tree.TreePath.isDescendant,Returns true ifaTreePathis a  descendant of thisTreePath.
javax.swing.tree.TreePath.pathByAddingChild,Returns a new path containing all the elements of this path  pluschild.
javax.swing.tree.VariableHeightLayoutCache.getBounds,Returns theRectangleenclosing the label portion  into which the item identified bypathwill be drawn.
javax.swing.tree.VariableHeightLayoutCache.getPathForRow,Returns the path forrow.
javax.swing.tree.VariableHeightLayoutCache.getPreferredWidth,Returns the preferred width and height for the region invisibleRegion.
javax.swing.tree.VariableHeightLayoutCache.getRowForPath,Returns the row where the last item identified in path is visible.
javax.swing.tree.VariableHeightLayoutCache.getVisibleChildCount,Returns the number of visible children forpath.
javax.swing.tree.VariableHeightLayoutCache.getVisiblePathsFrom,Returns anEnumeratorthat increments over the visible paths  starting at the passed in location.
javax.swing.tree.VariableHeightLayoutCache.isExpanded,Returns true if the value identified bypathis  currently expanded.
javax.swing.tree.VariableHeightLayoutCache.setNodeDimensions,Sets the renderer that is responsible for drawing nodes in the tree.
javax.swing.undo.AbstractUndoableEdit.canRedo,Returnstrueif this edit isaliveandhasBeenDoneisfalse.
javax.swing.undo.AbstractUndoableEdit.canUndo,Returns true if this edit isaliveandhasBeenDoneistrue.
javax.swing.undo.AbstractUndoableEdit.die,Setsaliveto false.
javax.swing.undo.AbstractUndoableEdit.getPresentationName,"This default implementation returns """"."
javax.swing.undo.AbstractUndoableEdit.getRedoPresentationName,"Retreives the value from the defaults table with keyAbstractUndoableEdit.redoTextand returns  that value followed by a space, followed bygetPresentationName."
javax.swing.undo.AbstractUndoableEdit.getUndoPresentationName,"Retreives the value from the defaults table with keyAbstractUndoableEdit.undoTextand returns  that value followed by a space, followed bygetPresentationName."
javax.swing.undo.AbstractUndoableEdit.isSignificant,This default implementation returns true.
javax.swing.undo.AbstractUndoableEdit.redo,ThrowsCannotRedoExceptionifcanRedoreturns false.
javax.swing.undo.AbstractUndoableEdit.undo,ThrowsCannotUndoExceptionifcanUndoreturnsfalse.
javax.swing.undo.CompoundEdit.addEdit,"If this edit isinProgress,  acceptsanEditand returns true."
javax.swing.undo.CompoundEdit.canRedo,Returns false ifisInProgressor if super  returns false.
javax.swing.undo.CompoundEdit.die,"Sendsdieto each subedit,  in the reverse of the order that they were added."
javax.swing.undo.CompoundEdit.end,SetsinProgressto false.
javax.swing.undo.CompoundEdit.getPresentationName,ReturnsgetPresentationNamefrom the  lastUndoableEditadded toedits.
